ZoneID0,AgeID,NumChildID,Val
259000,9,1,2
259000,9,2,1
259000,10,0,1276
260000,1,0,12
260000,1,1,519
260000,1,2,1117
260000,1,3,492
260000,2,0,22
260000,2,1,418
260000,2,2,1162
260000,2,3,617
260000,3,0,25
260000,3,1,297
260000,3,2,523
260000,3,3,213
260000,4,0,556
260000,4,1,634
260000,4,2,547
260000,4,3,211
260000,5,0,822
260000,5,1,243
260000,5,2,170
260000,5,3,28
260000,6,0,3444
260000,6,1,2092
260000,6,2,2649
260000,6,3,838
260000,7,0,4331
260000,7,1,506
260000,7,2,159
260000,7,3,23
260000,8,0,4508
260000,8,1,34
260000,8,2,8
260000,8,3,1
260000,9,0,3424
