ZoneID0,AgeID,FamID,Val
563000,4,2,96
563000,5,1,34
563000,5,2,29
563000,6,1,228
563000,6,2,596
563000,7,1,166
563000,7,2,359
563000,8,1,228
563000,8,2,462
563000,9,1,210
563000,9,2,269
563000,10,1,94
563000,10,2,25
573000,1,1,480
573000,1,2,3675
573000,2,1,712
573000,2,2,3326
573000,3,1,390
573000,3,2,1445
573000,4,1,1250
573000,4,2,2152
573000,5,1,1057
573000,5,2,1400
573000,6,1,3957
573000,6,2,10840
573000,7,1,1872
573000,7,2,5469
573000,8,1,1639
573000,8,2,4612
573000,9,1,1579
573000,9,2,2658
573000,10,1,1062
573000,10,2,420
575000,1,1,440
575000,1,2,3267
575000,2,1,674
575000,2,2,2943
575000,3,1,339
575000,3,2,1285
575000,4,1,1127
575000,4,2,1910
575000,5,1,909
575000,5,2,1229
575000,6,1,3728
575000,6,2,9745
575000,7,1,1583
575000,7,2,4339
575000,8,1,1272
575000,8,2,3431
575000,9,1,1374
575000,9,2,2123
575000,10,1,863
575000,10,2,343
580000,1,1,695
580000,1,2,3911
580000,2,1,1032
580000,2,2,3537
580000,3,1,526
580000,3,2,1715
580000,4,1,1661
580000,4,2,2517
580000,5,1,1253
580000,5,2,1399
580000,6,1,5127
580000,6,2,12174
580000,7,1,2499
580000,7,2,6300
580000,8,1,2272
580000,8,2,5352
580000,9,1,2143
580000,9,2,3248
580000,10,1,1161
580000,10,2,480
607000,1,1,720
607000,1,2,3390
607000,2,1,1053
607000,2,2,3000
607000,3,1,482
607000,3,2,1376
607000,4,1,1720
607000,4,2,2232
607000,5,1,1468
607000,5,2,1465
607000,6,1,5611
607000,6,2,10924
607000,7,1,2327
607000,7,2,5084
607000,8,1,1813
607000,8,2,3821
607000,9,1,1773
607000,9,2,2682
607000,10,1,861
607000,10,2,371
615000,1,1,1056
615000,1,2,7932
615000,2,1,1624
615000,2,2,6273
615000,3,1,885
615000,3,2,2555
615000,4,1,4253
615000,4,2,4310
615000,5,1,2899
615000,5,2,3378
615000,6,1,9333
615000,6,2,22240
615000,7,1,3711
615000,7,2,7955
615000,8,1,3058
615000,8,2,6471
615000,9,1,2699
615000,9,2,3890
615000,10,1,1370
615000,10,2,588
621000,1,1,1161
621000,1,2,6984
621000,2,1,1761
621000,2,2,6140
621000,3,1,886
621000,3,2,2672
621000,4,1,3613
621000,4,2,4377
621000,5,1,2770
621000,5,2,2949
621000,6,1,8985
621000,6,2,21147
621000,7,1,3605
621000,7,2,8650
621000,8,1,2955
621000,8,2,6761
621000,9,1,2833
621000,9,2,4251
621000,10,1,1423
621000,10,2,605
630000,1,1,1329
630000,1,2,9838
630000,2,1,1992
630000,2,2,7997
630000,3,1,1043
630000,3,2,3520
630000,4,1,4027
630000,4,2,5660
630000,5,1,3178
630000,5,2,3960
630000,6,1,11005
630000,6,2,28063
630000,7,1,4645
630000,7,2,11243
630000,8,1,3646
630000,8,2,8386
630000,9,1,3537
630000,9,2,5276
630000,10,1,1843
630000,10,2,761
657000,1,1,925
657000,1,2,6953
657000,2,1,1296
657000,2,2,6103
657000,3,1,715
657000,3,2,2743
657000,4,1,3352
657000,4,2,4260
657000,5,1,2452
657000,5,2,2822
657000,6,1,7700
657000,6,2,20196
657000,7,1,3220
657000,7,2,8702
657000,8,1,2731
657000,8,2,6826
657000,9,1,2704
657000,9,2,4134
657000,10,1,1527
657000,10,2,591
661000,1,1,668
661000,1,2,4670
661000,2,1,904
661000,2,2,3929
661000,3,1,515
661000,3,2,1811
661000,4,1,2151
661000,4,2,2785
661000,5,1,1491
661000,5,2,1854
661000,6,1,4914
661000,6,2,12733
661000,7,1,2159
661000,7,2,5635
661000,8,1,1919
661000,8,2,4752
661000,9,1,1825
661000,9,2,2817
661000,10,1,1038
661000,10,2,408
665000,1,1,155
665000,1,2,1223
665000,2,1,227
665000,2,2,1103
665000,3,1,113
665000,3,2,571
665000,4,1,451
665000,4,2,912
665000,5,1,362
