ZoneID0,AgeID,LmaID,Val
155000,6,6,296
155000,6,7,54
155000,6,8,266
155000,7,1,1266
155000,7,2,284
155000,7,3,2
155000,7,4,190
155000,7,5,84
155000,7,6,117
155000,7,7,5
155000,7,8,135
155000,8,1,147
155000,8,2,164
155000,8,3,1
155000,8,4,1305
155000,8,5,11
155000,8,6,29
155000,8,8,79
155000,9,1,15
155000,9,2,35
155000,9,4,1376
155000,9,6,1
155000,9,8,30
155000,10,1,1
155000,10,2,5
155000,10,4,454
155000,10,6,2
155000,10,8,4
157000,1,3,6235
157000,2,3,7021
157000,3,3,3290
157000,4,1,855
157000,4,2,1080
157000,4,3,1273
157000,4,4,23
157000,4,5,30
157000,4,6,533
157000,4,7,1531
157000,4,8,35
157000,5,1,1290
157000,5,2,454
157000,5,3,291
157000,5,4,25
157000,5,5,110
157000,5,6,508
157000,5,7,448
157000,5,8,58
157000,6,1,15293
157000,6,2,2056
157000,6,3,284
157000,6,4,381
157000,6,5,724
157000,6,6,2381
157000,6,7,341
157000,6,8,1645
157000,7,1,6269
157000,7,2,1192
157000,7,3,16
157000,7,4,796
157000,7,5,338
157000,7,6,980
157000,7,7,22
157000,7,8,1063
157000,8,1,1020
157000,8,2,725
157000,8,3,10
157000,8,4,5128
157000,8,5,45
157000,8,6,172
157000,8,8,568
157000,9,1,115
157000,9,2,241
157000,9,3,1
157000,9,4,5550
157000,9,5,1
157000,9,6,34
157000,9,8,297
157000,10,1,6
157000,10,2,19
157000,10,3,2
157000,10,4,1985
157000,10,6,16
157000,10,8,33
159000,1,3,6753
159000,2,3,6213
159000,3,3,2652
159000,4,1,950
159000,4,2,1003
159000,4,3,1465
159000,4,4,37
159000,4,5,43
159000,4,6,411
159000,4,7,1916
159000,4,8,35
159000,5,1,1997
159000,5,2,558
159000,5,3,512
159000,5,4,62
159000,5,5,173
159000,5,6,350
159000,5,7,779
159000,5,8,81
159000,6,1,16027
159000,6,2,2448
159000,6,3,467
159000,6,4,760
159000,6,5,681
159000,6,6,1589
159000,6,7,579
159000,6,8,994
159000,7,1,5082
159000,7,2,1111
159000,7,3,18
159000,7,4,1225
159000,7,5,266
159000,7,6,435
159000,7,7,17
159000,7,8,408
159000,8,1,563
159000,8,2,486
159000,8,3,12
159000,8,4,4804
159000,8,5,21
159000,8,6,97
159000,8,8,192
159000,9,1,21
159000,9,2,97
159000,9,3,13
159000,9,4,3944
159000,9,6,7
159000,9,8,59
159000,10,2,11
159000,10,3,2
159000,10,4,1560
159000,10,6,9
159000,10,8,7
161000,1,3,2192
161000,2,3,1725
161000,3,3,751
161000,4,1,371
161000,4,2,315
161000,4,3,362
161000,4,4,8
161000,4,5,24
161000,4,6,150
161000,4,7,638
161000,4,8,8
161000,5,1,891
161000,5,2,196
161000,5,3,125
161000,5,4,14
161000,5,5,59
161000,5,6,126
161000,5,7,206
161000,5,8,34
161000,6,1,5397
161000,6,2,871
161000,6,3,120
161000,6,4,288
161000,6,5,328
161000,6,6,613
161000,6,7,168
161000,6,8,273
161000,7,1,1763
161000,7,2,376
161000,7,3,3
161000,7,4,479
161000,7,5,138
161000,7,6,153
161000,7,7,4
161000,7,8,126
