ZoneID0,AgeID,GenderID,Val
573000,1,1,2122
573000,1,2,2033
573000,2,1,2090
573000,2,2,1948
573000,3,1,966
573000,3,2,869
573000,4,1,1805
573000,4,2,1597
573000,5,1,1308
573000,5,2,1149
573000,6,1,7537
573000,6,2,7260
573000,7,1,3749
573000,7,2,3592
573000,8,1,3130
573000,8,2,3121
573000,9,1,2082
573000,9,2,2155
573000,10,1,561
573000,10,2,921
575000,1,1,1892
575000,1,2,1815
575000,2,1,1820
575000,2,2,1797
575000,3,1,829
575000,3,2,795
575000,4,1,1690
575000,4,2,1347
575000,5,1,1112
575000,5,2,1026
575000,6,1,7016
575000,6,2,6457
575000,7,1,3047
575000,7,2,2875
575000,8,1,2347
575000,8,2,2356
575000,9,1,1638
575000,9,2,1859
575000,10,1,475
575000,10,2,731
580000,1,1,2341
580000,1,2,2265
580000,2,1,2353
580000,2,2,2216
580000,3,1,1124
580000,3,2,1117
580000,4,1,2173
580000,4,2,2005
580000,5,1,1382
580000,5,2,1270
580000,6,1,8702
580000,6,2,8599
580000,7,1,4394
580000,7,2,4405
580000,8,1,3745
580000,8,2,3879
580000,9,1,2576
580000,9,2,2815
580000,10,1,632
580000,10,2,1009
607000,1,1,2092
607000,1,2,2018
607000,2,1,2076
607000,2,2,1977
607000,3,1,945
607000,3,2,913
607000,4,1,2049
607000,4,2,1903
607000,5,1,1578
607000,5,2,1355
607000,6,1,8464
607000,6,2,8071
607000,7,1,3718
607000,7,2,3693
607000,8,1,2738
607000,8,2,2896
607000,9,1,2068
607000,9,2,2387
607000,10,1,442
607000,10,2,790
615000,1,1,4622
615000,1,2,4366
615000,2,1,4044
615000,2,2,3853
615000,3,1,1709
615000,3,2,1731
615000,4,1,4549
615000,4,2,4014
615000,5,1,3287
615000,5,2,2990
615000,6,1,16173
615000,6,2,15400
615000,7,1,5817
615000,7,2,5849
615000,8,1,4573
615000,8,2,4956
615000,9,1,3036
615000,9,2,3553
615000,10,1,747
615000,10,2,1211
621000,1,1,4259
621000,1,2,3886
621000,2,1,4026
621000,2,2,3875
621000,3,1,1765
621000,3,2,1793
621000,4,1,4121
621000,4,2,3869
621000,5,1,2950
621000,5,2,2769
621000,6,1,15131
621000,6,2,15001
621000,7,1,6188
621000,7,2,6067
621000,8,1,4724
621000,8,2,4992
621000,9,1,3295
621000,9,2,3789
621000,10,1,740
621000,10,2,1288
630000,1,1,5736
630000,1,2,5431
630000,2,1,5177
630000,2,2,4812
630000,3,1,2323
630000,3,2,2240
630000,4,1,4969
630000,4,2,4718
630000,5,1,3642
630000,5,2,3496
630000,6,1,19791
630000,6,2,19277
630000,7,1,8031
630000,7,2,7857
630000,8,1,5799
630000,8,2,6233
630000,9,1,4087
630000,9,2,4726
630000,10,1,967
630000,10,2,1637
657000,1,1,3998
657000,1,2,3880
657000,2,1,3765
657000,2,2,3634
657000,3,1,1751
657000,3,2,1707
657000,4,1,3970
657000,4,2,3642
657000,5,1,2797
657000,5,2,2477
657000,6,1,14245
657000,6,2,13651
657000,7,1,6115
657000,7,2,5807
657000,8,1,4672
657000,8,2,4885
657000,9,1,3186
657000,9,2,3652
657000,10,1,779
657000,10,2,1339
661000,1,1,2777
661000,1,2,2561
661000,2,1,2498
661000,2,2,2335
661000,3,1,1207
661000,3,2,1119
661000,4,1,2489
661000,4,2,2447
661000,5,1,1722
661000,5,2,1623
661000,6,1,8886
661000,6,2,8761
661000,7,1,3853
661000,7,2,3941
661000,8,1,3255
661000,8,2,3416
661000,9,1,2189
661000,9,2,2453
661000,10,1,540
661000,10,2,906
665000,1,1,673
665000,1,2,705
665000,2,1,686
665000,2,2,644
665000,3,1,342
665000,3,2,342
665000,4,1,764
665000,4,2,599
